Date;c25;sp500;dax
17-03-2023;1.704,53;3916,639893;14768,2002
16-03-2023;1.721,24;3960,280029;14967,09961
15-03-2023;1.716,18;3891,929932;14735,25977
14-03-2023;1.750,84;3919,290039;15232,83008
13-03-2023;1.719,44;3855,76001;14959,46973
10-03-2023;1.747,21;3861,590088;15427,96973
09-03-2023;1.787,56;3918,320068;15633,20996
08-03-2023;1.768,55;3992,01001;15631,87012
07-03-2023;1.783,06;3986,370117;15559,53027
06-03-2023;1.796,38;4048,419922;15653,58008
03-03-2023;1.794,82;4045,639893;15578,38965
02-03-2023;1.784,79;3981,350098;15327,63965
01-03-2023;1.787,67;3951,389893;15305,01953
28-02-2023;1.780,33;3970,149902;15365,13965
27-02-2023;1.784,97;3982,23999;15381,42969
24-02-2023;1.772,66;3970,040039;15209,74023
23-02-2023;1.779,87;4012,320068;15475,69043
22-02-2023;1.775,96;3991,050049;15399,88965
21-02-2023;1.793,46;3997,340088;15397,62012
17-02-2023;1.784,79;4079,090088;15482
16-02-2023;1.783,12;4090,409912;15533,63965
15-02-2023;1.780,72;4147,600098;15506,33984
14-02-2023;1.776,53;4136,129883;15380,55957
13-02-2023;1.777,43;4137,290039;15397,33984
10-02-2023;1.765,63;4090,459961;15307,98047
09-02-2023;1.789,30;4081,5;15523,41992
08-02-2023;1.775,03;4117,859863;15412,04981
07-02-2023;1.757,11;4164;15320,87988
06-02-2023;1.758,43;4111,080078;15345,91016
03-02-2023;1.766,48;4136,47998;15476,42969
02-02-2023;1.750,61;4179,759766;15509,19043
01-02-2023;1.716,89;4119,209961;15180,74023
31-01-2023;1.698,42;4076,600098;15128,26953
30-01-2023;1.701,23;4017,77002;15126,08008
27-01-2023;1.691,13;4070,560059;15150,03027
26-01-2023;1.692,18;4060,429932;15132,84961
25-01-2023;1.681,24;4016,219971;15081,63965
24-01-2023;1.720,54;4016,949951;15093,11035
23-01-2023;1.729,49;4019,810059;15102,9502
20-01-2023;1.722,86;3972,610107;15033,55957
19-01-2023;1.723,69;3898,850098;14920,36035
18-01-2023;1.758,16;3928,860107;15181,79981
17-01-2023;1.754,71;3990,969971;15187,07031
